Region Code,Provider Code,Provider Name,Treatment Function Code,Treatment Function,Total number of incomplete pathways,Total within 18 weeks,% within 18 weeks,Average (median) waiting time (in weeks),92nd percentile waiting time (in weeks),Total 52 plus weeks,Total 78 plus weeks,Total 65 plus weeks
Y56,R1H,BARTS HEALTH NHS TRUST,C_100,General Surgery Service,"3,301","1,654",50.10%,17.9,51.8,258,12,87
Y56,R1H,BARTS HEALTH NHS TRUST,C_101,Urology Service,"5,883","2,686",45.70%,20.4,53.5,534,8,123
Y56,R1H,BARTS HEALTH NHS TRUST,C_110,Trauma and Orthopaedic Service,"7,481","4,037",54.00%,15.8,49.7,518,25,200
Y56,R1H,BARTS HEALTH NHS TRUST,C_120,Ear Nose and Throat Service,"6,111","3,175",52.00%,17.2,51.5,470,28,185
Y56,R1H,BARTS HEALTH NHS TRUST,C_130,Ophthalmology Service,"5,177","3,289",63.50%,12.8,36.6,55,-,4
Y56,R1H,BARTS HEALTH NHS TRUST,C_140,Oral Surgery Service,"7,087","2,838",40.00%,24.1,56.2,786,56,267
Y56,R1H,BARTS HEALTH NHS TRUST,C_150,Neurosurgical Service,"1,292",730,56.50%,15.3,46.8,91,9,36
Y56,R1H,BARTS HEALTH NHS TRUST,C_160,Plastic Surgery Service,"1,326",604,45.60%,20.8,52,106,6,32
Y56,R1H,BARTS HEALTH NHS TRUST,C_170,Cardiothoracic Surgery Service,46,26,56.50%,15.7,38.3,1,-,-
Y56,R1H,BARTS HEALTH NHS TRUST,C_300,General Internal Medicine Service,21,12,57.10%,15.5,39.3,-,-,-
Y56,R1H,BARTS HEALTH NHS TRUST,C_301,Gastroenterology Service,"7,514","4,035",53.70%,16.7,43.7,408,2,82
Y56,R1H,BARTS HEALTH NHS TRUST,C_320,Cardiology Service,"8,571","5,599",65.30%,12.3,33.5,34,2,8
Y56,R1H,BARTS HEALTH NHS TRUST,C_330,Dermatology Service,"7,493","3,539",47.20%,19.2,66.2,"1,203",63,681
Y56,R1H,BARTS HEALTH NHS TRUST,C_340,Respiratory Medicine Service,"4,384","2,182",49.80%,18.1,50.7,309,11,100
Y56,R1H,BARTS HEALTH NHS TRUST,C_400,Neurology Service,"2,022","1,189",58.80%,15.2,36.3,32,-,10
Y56,R1H,BARTS HEALTH NHS TRUST,C_410,Rheumatology Service,826,713,86.30%,6.4,24,-,-,-
Y56,R1H,BARTS HEALTH NHS TRUST,C_430,Elderly Medicine Service,167,152,91.00%,6.5,19.3,-,-,-
Y56,R1H,BARTS HEALTH NHS TRUST,C_502,Gynaecology Service,"10,478","5,211",49.70%,18.1,47,602,20,165
Y56,R1H,BARTS HEALTH NHS TRUST,X02,Other - Medical Services,"15,748","10,424",66.20%,11.6,36.3,274,5,63
Y56,R1H,BARTS HEALTH NHS TRUST,X03,Other - Mental Health Services,-,-,-,-,-,-,-,-
Y56,R1H,BARTS HEALTH NHS TRUST,X04,Other - Paediatric Services,"8,935","4,491",50.30%,17.9,47.8,529,12,131
