Region Code,Provider Code,Provider Name,Treatment Function Code,Treatment Function,Total number of incomplete pathways,Total within 18 weeks,% within 18 weeks,Average (median) waiting time (in weeks),92nd percentile waiting time (in weeks),Total 52 plus weeks,Total 78 plus weeks,Total 65 plus weeks
Y56,R1H,BARTS HEALTH NHS TRUST,C_100,General Surgery Service,"3,551","1,691",47.60%,19.1,51.2,272,25,82
Y56,R1H,BARTS HEALTH NHS TRUST,C_101,Urology Service,"6,740","2,830",42.00%,21.8,49.7,432,11,91
Y56,R1H,BARTS HEALTH NHS TRUST,C_110,Trauma and Orthopaedic Service,"7,524","3,651",48.50%,18.8,54.7,741,52,240
Y56,R1H,BARTS HEALTH NHS TRUST,C_120,Ear Nose and Throat Service,"5,165","2,815",54.50%,16.2,54,479,41,155
Y56,R1H,BARTS HEALTH NHS TRUST,C_130,Ophthalmology Service,"5,181","3,348",64.60%,12.6,37.9,79,2,8
Y56,R1H,BARTS HEALTH NHS TRUST,C_140,Oral Surgery Service,"6,624","3,244",49.00%,18.4,50.8,483,18,111
Y56,R1H,BARTS HEALTH NHS TRUST,C_150,Neurosurgical Service,"1,382",662,47.90%,19,55.3,136,11,50
Y56,R1H,BARTS HEALTH NHS TRUST,C_160,Plastic Surgery Service,"1,004",587,58.50%,14,50.1,72,2,12
Y56,R1H,BARTS HEALTH NHS TRUST,C_170,Cardiothoracic Surgery Service,"1,063",647,60.90%,13.5,38.5,16,-,5
Y56,R1H,BARTS HEALTH NHS TRUST,C_300,General Internal Medicine Service,31,12,38.70%,24.3,56.5,5,-,1
Y56,R1H,BARTS HEALTH NHS TRUST,C_301,Gastroenterology Service,"7,270","4,053",55.70%,15.2,44.1,282,1,56
Y56,R1H,BARTS HEALTH NHS TRUST,C_320,Cardiology Service,"7,878","5,686",72.20%,11.7,28.6,6,-,-
Y56,R1H,BARTS HEALTH NHS TRUST,C_330,Dermatology Service,"9,354","3,649",39.00%,25.1,59.6,"1,335",-,346
