Region Code,Provider Code,Provider Name,Treatment Function Code,Treatment Function,Total number of incomplete pathways,Total within 18 weeks,% within 18 weeks,Average (median) waiting time (in weeks),92nd percentile waiting time (in weeks),Total 52 plus weeks,Total 78 plus weeks,Total 65 plus weeks
Y56,R1H,BARTS HEALTH NHS TRUST,C_100,General Surgery Service,"3,341","1,610",48.20%,18.8,52,268,11,81
Y56,R1H,BARTS HEALTH NHS TRUST,C_101,Urology Service,"6,053","2,666",44.00%,21,52.3,497,8,113
Y56,R1H,BARTS HEALTH NHS TRUST,C_110,Trauma and Orthopaedic Service,"7,290","3,556",48.80%,18.6,55,699,27,223
Y56,R1H,BARTS HEALTH NHS TRUST,C_120,Ear Nose and Throat Service,"5,773","3,004",52.00%,16.8,53.5,499,23,183
Y56,R1H,BARTS HEALTH NHS TRUST,C_130,Ophthalmology Service,"5,356","3,187",59.50%,14.5,38.4,89,2,5
Y56,R1H,BARTS HEALTH NHS TRUST,C_140,Oral Surgery Service,"7,048","2,840",40.30%,23.6,56.6,751,25,244
Y56,R1H,BARTS HEALTH NHS TRUST,C_150,Neurosurgical Service,"1,445",741,51.30%,17.3,49.9,98,8,38
Y56,R1H,BARTS HEALTH NHS TRUST,C_160,Plastic Surgery Service,"1,240",592,47.70%,19,49.8,80,1,28
Y56,R1H,BARTS HEALTH NHS TRUST,C_170,Cardiothoracic Surgery Service,796,558,70.10%,11.3,29.5,4,-,1
Y56,R1H,BARTS HEALTH NHS TRUST,C_300,General Internal Medicine Service,24,16,66.70%,12,50.1,1,-,1
Y56,R1H,BARTS HEALTH NHS TRUST,C_301,Gastroenterology Service,"7,795","4,225",54.20%,16.2,48,454,5,84
Y56,R1H,BARTS HEALTH NHS TRUST,C_320,Cardiology Service,"8,460","5,794",68.50%,12.2,31.6,14,2,2
Y56,R1H,BARTS HEALTH NHS TRUST,C_330,Dermatology Service,"8,363","3,819",45.70%,20.6,63,"1,522",26,516
Y56,R1H,BARTS HEALTH NHS TRUST,C_340,Respiratory Medicine Service,"4,533","2,108",46.50%,19.5,47.3,268,7,73
Y56,R1H,BARTS HEALTH NHS TRUST,C_400,Neurology Service,"2,229","1,234",55.40%,15.7,37.2,62,1,21
Y56,R1H,BARTS HEALTH NHS TRUST,C_410,Rheumatology Service,808,678,83.90%,5.5,26.4,1,-,-
Y56,R1H,BARTS HEALTH NHS TRUST,C_430,Elderly Medicine Service,144,128,88.90%,7,20.2,1,1,1
Y56,R1H,BARTS HEALTH NHS TRUST,C_502,Gynaecology Service,"9,965","4,908",49.30%,18.3,47.9,587,16,158
Y56,R1H,BARTS HEALTH NHS TRUST,X02,Other - Medical Services,"14,963","9,968",66.60%,11.5,35.5,345,8,82
Y56,R1H,BARTS HEALTH NHS TRUST,X03,Other - Mental Health Services,-,-,-,-,-,-,-,-
Y56,R1H,BARTS HEALTH NHS TRUST,X04,Other - Paediatric Services,"9,320","4,626",49.60%,18.1,49,561,23,182
Y56,R1H,BARTS HEALTH NHS TRUST,X05,Other - Surgical Services,"13,213","7,113",53.80%,16,50.5,934,47,246
Y56,R1H,BARTS HEALTH NHS TRUST,X06,Other - Other Services,"1,019",693,68.00%,9.7,38.6,37,-,9
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_100,General Surgery Service,"3,132","1,540",49.20%,18.4,46.3,133,5,26
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_101,Urology Service,"3,461","2,101",60.70%,14.3,34.4,31,1,9
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_110,Trauma and Orthopaedic Service,"6,276","3,477",55.40%,15.6,43.9,203,-,17
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_120,Ear Nose and Throat Service,"11,160","3,556",31.90%,28.3,58.8,"1,575",36,487
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_130,Ophthalmology Service,"1,555","1,066",68.60%,12.4,31.4,2,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_140,Oral Surgery Service,"8,884","3,383",38.10%,23.6,46.7,314,1,35
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_150,Neurosurgical Service,-,-,-,-,-,-,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_160,Plastic Surgery Service,9,6,66.70%,-,-,-,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_170,Cardiothoracic Surgery Service,-,-,-,-,-,-,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_300,General Internal Medicine Service,56,54,96.40%,13.3,16,-,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_301,Gastroenterology Service,"7,248","4,552",62.80%,13.1,36.2,103,-,4
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_320,Cardiology Service,"4,014","2,502",62.30%,14,34,2,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_330,Dermatology Service,"4,829","2,730",56.50%,15.6,32.9,2,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_340,Respiratory Medicine Service,"2,543","1,628",64.00%,13.5,32.8,-,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_400,Neurology Service,"3,568","1,923",53.90%,15.7,37.8,-,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_410,Rheumatology Service,"1,015",933,91.90%,7.8,18,-,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_430,Elderly Medicine Service,39,39,100.00%,2.7,7.9,-,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_502,Gynaecology Service,"6,914","3,113",45.00%,20.8,54.2,673,7,158
