Region Code,Provider Code,Provider Name,Treatment Function Code,Treatment Function,Total number of incomplete pathways,Total within 18 weeks,% within 18 weeks,Average (median) waiting time (in weeks),92nd percentile waiting time (in weeks),Total 52 plus weeks,Total 78 plus weeks,Total 65 plus weeks
Y56,R1H,BARTS HEALTH NHS TRUST,C_100,General Surgery Service,"3,791","2,073",54.70%,15.7,57.4,430,61,179
Y56,R1H,BARTS HEALTH NHS TRUST,C_101,Urology Service,"7,513","3,656",48.70%,18.8,53.9,674,60,274
Y56,R1H,BARTS HEALTH NHS TRUST,C_110,Trauma and Orthopaedic Service,"8,057","3,925",48.70%,18.6,57.5,866,148,414
Y56,R1H,BARTS HEALTH NHS TRUST,C_120,Ear Nose and Throat Service,"4,002","1,868",46.70%,19.7,63.9,580,123,301
Y56,R1H,BARTS HEALTH NHS TRUST,C_130,Ophthalmology Service,"4,673","3,030",64.80%,12.4,40,137,1,21
Y56,R1H,BARTS HEALTH NHS TRUST,C_140,Oral Surgery Service,"6,195","3,048",49.20%,18.3,48.9,356,39,133
Y56,R1H,BARTS HEALTH NHS TRUST,C_150,Neurosurgical Service,"1,628",915,56.20%,16,53.9,151,16,57
Y56,R1H,BARTS HEALTH NHS TRUST,C_160,Plastic Surgery Service,"1,018",517,50.80%,17.6,55.4,99,9,40
Y56,R1H,BARTS HEALTH NHS TRUST,C_170,Cardiothoracic Surgery Service,935,648,69.30%,10.2,36.7,13,1,2
Y56,R1H,BARTS HEALTH NHS TRUST,C_300,General Internal Medicine Service,52,20,38.50%,23.3,56.4,9,-,3
Y56,R1H,BARTS HEALTH NHS TRUST,C_301,Gastroenterology Service,"5,462","3,423",62.70%,13.6,38,127,5,33
Y56,R1H,BARTS HEALTH NHS TRUST,C_320,Cardiology Service,"7,052","5,472",77.60%,9.1,28.2,8,-,2
Y56,R1H,BARTS HEALTH NHS TRUST,C_330,Dermatology Service,"7,241","3,742",51.70%,17.4,44.7,180,-,2
Y56,R1H,BARTS HEALTH NHS TRUST,C_340,Respiratory Medicine Service,"4,356","2,171",49.80%,18.1,48.5,264,32,82
Y56,R1H,BARTS HEALTH NHS TRUST,C_400,Neurology Service,"1,887","1,272",67.40%,12.7,31.5,11,1,4
Y56,R1H,BARTS HEALTH NHS TRUST,C_410,Rheumatology Service,735,605,82.30%,8.1,26.7,9,1,4
Y56,R1H,BARTS HEALTH NHS TRUST,C_430,Elderly Medicine Service,121,110,90.90%,3.9,24.3,-,-,-
Y56,R1H,BARTS HEALTH NHS TRUST,C_502,Gynaecology Service,"8,895","4,536",51.00%,17.6,51.3,687,92,301
Y56,R1H,BARTS HEALTH NHS TRUST,X02,Other - Medical Services,"12,910","8,597",66.60%,11.2,36.9,257,11,61
Y56,R1H,BARTS HEALTH NHS TRUST,X03,Other - Mental Health Services,-,-,-,-,-,-,-,-
Y56,R1H,BARTS HEALTH NHS TRUST,X04,Other - Paediatric Services,"10,406","5,230",50.30%,17.9,50.8,772,63,295
Y56,R1H,BARTS HEALTH NHS TRUST,X05,Other - Surgical Services,"13,541","6,978",51.50%,17.1,56,"1,439",204,598
Y56,R1H,BARTS HEALTH NHS TRUST,X06,Other - Other Services,874,588,67.30%,10.8,38.6,34,7,13
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_100,General Surgery Service,"10,449","7,024",67.20%,12.1,35.8,250,17,84
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_101,Urology Service,"2,959","2,158",72.90%,9.9,32.1,24,-,1
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_110,Trauma and Orthopaedic Service,"4,608","2,942",63.80%,13.4,35.4,61,1,7
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_120,Ear Nose and Throat Service,"10,416","4,641",44.60%,20.4,44.4,218,-,23
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_130,Ophthalmology Service,"1,488","1,060",71.20%,10.1,35.5,12,-,1
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_140,Oral Surgery Service,"9,395","4,937",52.50%,17.2,39,121,1,6
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_150,Neurosurgical Service,-,-,-,-,-,-,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_160,Plastic Surgery Service,49,44,89.80%,4.5,20,-,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_170,Cardiothoracic Surgery Service,-,-,-,-,-,-,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_300,General Internal Medicine Service,8,7,87.50%,-,-,-,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_301,Gastroenterology Service,"4,801","3,170",66.00%,12.9,28.9,7,-,1
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_320,Cardiology Service,"3,502","2,966",84.70%,7.3,23.7,-,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_330,Dermatology Service,"3,257","2,892",88.80%,8.3,19.8,2,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_340,Respiratory Medicine Service,"1,523","1,272",83.50%,9.6,23.9,-,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_400,Neurology Service,"2,874","1,498",52.10%,17.3,36.6,-,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_410,Rheumatology Service,895,809,90.40%,7.1,18.8,-,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_430,Elderly Medicine Service,40,40,100.00%,1.8,8.4,-,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_502,Gynaecology Service,"7,662","3,754",49.00%,18.5,51.2,578,47,215
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,X02,Other - Medical Services,"6,788","5,451",80.30%,8.1,26.1,10,-,2
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,X03,Other - Mental Health Services,-,-,-,-,-,-,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,X04,Other - Paediatric Services,924,656,71.00%,11.8,28.2,-,-,-
