Region Code,Provider Code,Provider Name,Treatment Function Code,Treatment Function,Total number of incomplete pathways,Total within 18 weeks,% within 18 weeks,Average (median) waiting time (in weeks),92nd percentile waiting time (in weeks)
Y56,R1H,BARTS HEALTH NHS TRUST,C_100,General Surgery,"2,632",,,19.2,
Y56,R1H,BARTS HEALTH NHS TRUST,C_101,Urology,"4,176",,,17.4,
Y56,R1H,BARTS HEALTH NHS TRUST,C_110,Trauma & Orthopaedics,"7,396",,,18.6,
Y56,R1H,BARTS HEALTH NHS TRUST,C_120,"Ear, Nose & Throat (ENT)","5,760",,,18.2,
Y56,R1H,BARTS HEALTH NHS TRUST,C_130,Ophthalmology,"4,305",,,18,
Y56,R1H,BARTS HEALTH NHS TRUST,C_140,Oral Surgery,"2,199",,,19.3,
Y56,R1H,BARTS HEALTH NHS TRUST,C_150,Neurosurgery,839,,,16.2,
Y56,R1H,BARTS HEALTH NHS TRUST,C_160,Plastic Surgery,922,,,22.1,
Y56,R1H,BARTS HEALTH NHS TRUST,C_170,Cardiothoracic Surgery,643,,,12.9,
Y56,R1H,BARTS HEALTH NHS TRUST,C_300,General Medicine,40,,,6.9,
Y56,R1H,BARTS HEALTH NHS TRUST,C_301,Gastroenterology,"3,070",,,14.5,
Y56,R1H,BARTS HEALTH NHS TRUST,C_320,Cardiology,"5,782",,,16.2,
Y56,R1H,BARTS HEALTH NHS TRUST,C_330,Dermatology,"3,663",,,16.5,
Y56,R1H,BARTS HEALTH NHS TRUST,C_340,Thoracic Medicine,"2,853",,,16,
Y56,R1H,BARTS HEALTH NHS TRUST,C_400,Neurology,"1,380",,,14.5,
Y56,R1H,BARTS HEALTH NHS TRUST,C_410,Rheumatology,667,,,12.8,
Y56,R1H,BARTS HEALTH NHS TRUST,C_430,Geriatric Medicine,16,,,-,
Y56,R1H,BARTS HEALTH NHS TRUST,C_502,Gynaecology,"5,721",,,16.1,
Y56,R1H,BARTS HEALTH NHS TRUST,X01,Other,"25,865",,,17,
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_100,General Surgery,"5,473","2,908",53.10%,17.2,38.1
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_101,Urology,610,500,82.00%,11.3,23.4
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_110,Trauma & Orthopaedics,"1,961","1,041",53.10%,17.4,34.6
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_120,"Ear, Nose & Throat (ENT)","5,596","1,965",35.10%,23,39.8
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_130,Ophthalmology,919,600,65.30%,15.8,25.8
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_140,Oral Surgery,"2,005","1,180",58.90%,16.1,38.6
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_150,Neurosurgery, -   , -   , -   ,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_160,Plastic Surgery,6,2,33.30%,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_170,Cardiothoracic Surgery, -   , -   , -   ,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_300,General Medicine,13,12,92.30%,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_301,Gastroenterology,"2,156","1,572",72.90%,13.7,26
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_320,Cardiology,"1,292","1,018",78.80%,13.3,23.5
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_330,Dermatology,"1,729","1,303",75.40%,13.9,24
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_340,Thoracic Medicine,434,340,78.30%,13.4,23.9
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_400,Neurology,"1,023",706,69.00%,14.5,23.6
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_410,Rheumatology,368,254,69.00%,14.5,22.9
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_430,Geriatric Medicine,33,32,97.00%,13.3,16.2
