Region Code,Provider Code,Provider Name,Treatment Function Code,Treatment Function, 52 plus ,Total number of incomplete pathways,Total within 18 weeks,% within 18 weeks,Average (median) waiting time (in weeks),92nd percentile waiting time (in weeks)
Y56,R1H,BARTS HEALTH NHS TRUST,C_100,General Surgery,1,"2,668",,,8.9,
Y56,R1H,BARTS HEALTH NHS TRUST,C_101,Urology,1,"4,468",,,9.7,
Y56,R1H,BARTS HEALTH NHS TRUST,C_110,Trauma & Orthopaedics,2,"6,912",,,9.6,
Y56,R1H,BARTS HEALTH NHS TRUST,C_120,"Ear, Nose & Throat (ENT)",2,"5,608",,,9.4,
Y56,R1H,BARTS HEALTH NHS TRUST,C_130,Ophthalmology,2,"4,584",,,9.3,
Y56,R1H,BARTS HEALTH NHS TRUST,C_140,Oral Surgery,10,"2,532",,,11.2,
Y56,R1H,BARTS HEALTH NHS TRUST,C_150,Neurosurgery, -   ,"1,095",,,12.4,
Y56,R1H,BARTS HEALTH NHS TRUST,C_160,Plastic Surgery, -   ,928,,,12.6,
Y56,R1H,BARTS HEALTH NHS TRUST,C_170,Cardiothoracic Surgery, -   ,545,,,4.7,
Y56,R1H,BARTS HEALTH NHS TRUST,C_300,General Medicine, -   ,88,,,6.8,
Y56,R1H,BARTS HEALTH NHS TRUST,C_301,Gastroenterology,1,"3,642",,,7.2,
Y56,R1H,BARTS HEALTH NHS TRUST,C_320,Cardiology,4,"6,914",,,7.3,
Y56,R1H,BARTS HEALTH NHS TRUST,C_330,Dermatology,5,"3,529",,,8.1,
Y56,R1H,BARTS HEALTH NHS TRUST,C_340,Thoracic Medicine,5,"3,236",,,9,
Y56,R1H,BARTS HEALTH NHS TRUST,C_400,Neurology,2,"2,079",,,8.9,
Y56,R1H,BARTS HEALTH NHS TRUST,C_410,Rheumatology, -   ,"1,644",,,6.7,
Y56,R1H,BARTS HEALTH NHS TRUST,C_430,Geriatric Medicine, -   ,78,,,2.5,
Y56,R1H,BARTS HEALTH NHS TRUST,C_502,Gynaecology,1,"5,339",,,7.7,
Y56,R1H,BARTS HEALTH NHS TRUST,X01,Other,14,"30,076",,,8.2,
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_100,General Surgery, -   ,"8,102","6,531",80.60%,9.2,25.1
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_101,Urology, -   ,"3,082","2,593",84.10%,7.8,22.6
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_110,Trauma & Orthopaedics, -   ,"3,378","2,885",85.40%,8.8,21.4
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_120,"Ear, Nose & Throat (ENT)",1,"5,797","3,948",68.10%,11.4,30.9
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_130,Ophthalmology, -   ,879,824,93.70%,5.7,16.9
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_140,Oral Surgery, -   ,"5,519","4,448",80.60%,8.7,24.9
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_150,Neurosurgery, -   , -   , -   , -   ,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_160,Plastic Surgery, -   ,3,2,66.70%,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_170,Cardiothoracic Surgery, -   , -   , -   , -   ,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_300,General Medicine, -   ,39,37,94.90%,1.3,7.9
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_301,Gastroenterology, -   ,"2,507","2,225",88.80%,7.5,20.6
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_320,Cardiology, -   ,"2,341","2,222",94.90%,6.9,16.4
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_330,Dermatology, -   ,"3,445","2,917",84.70%,9.1,22.3
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_340,Thoracic Medicine, -   ,870,782,89.90%,6,18.9
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_400,Neurology, -   ,"2,175","1,880",86.40%,8.8,21.5
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_410,Rheumatology, -   ,937,887,94.70%,7.3,16.5
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_430,Geriatric Medicine, -   ,161,161,100.00%,5.2,12.4
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_502,Gynaecology, -   ,"4,236","3,222",76.10%,8.6,29.4
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,X01,Other, -   ,"7,514","6,681",88.90%,6.5,20.1
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_100,General Surgery, -   , -   , -   , -   ,-,-
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_101,Urology, -   ,91,88,96.70%,6.1,12.9
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_110,Trauma & Orthopaedics, -   ,"4,700","4,110",87.40%,6.4,22
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_120,"Ear, Nose & Throat (ENT)", -   , -   , -   , -   ,-,-
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_130,Ophthalmology, -   , -   , -   , -   ,-,-
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_140,Oral Surgery, -   , -   , -   , -   ,-,-
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_150,Neurosurgery, -   ,35,30,85.70%,10,33.2
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_160,Plastic Surgery, -   ,1,1,100.00%,-,-
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_170,Cardiothoracic Surgery, -   , -   , -   , -   ,-,-
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_300,General Medicine, -   , -   , -   , -   ,-,-
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_301,Gastroenterology, -   ,9,9,100.00%,-,-
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_320,Cardiology, -   , -   , -   , -   ,-,-
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_330,Dermatology, -   , -   , -   , -   ,-,-
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_340,Thoracic Medicine, -   , -   , -   , -   ,-,-
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_400,Neurology, -   , -   , -   , -   ,-,-
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_410,Rheumatology, -   ,99,87,87.90%,6,19.1
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_430,Geriatric Medicine, -   , -   , -   , -   ,-,-
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_502,Gynaecology, -   , -   , -   , -   ,-,-
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,X01,Other, -   ,"1,231","1,005",81.60%,8.3,23.8
Y56,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,C_100,General Surgery, -   ,"1,731","1,615",93.30%,6.4,16.9
Y56,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,C_101,Urology, -   ,"1,012",965,95.40%,5.7,16.7
Y56,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,C_110,Trauma & Orthopaedics, -   ,726,637,87.70%,7.6,23.5
Y56,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,C_120,"Ear, Nose & Throat (ENT)", -   , -   , -   , -   ,-,-
Y56,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,C_130,Ophthalmology, -   ,"1,031","1,012",98.20%,4.4,12.4
Y56,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,C_140,Oral Surgery, -   , -   , -   , -   ,-,-
Y56,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,C_150,Neurosurgery, -   , -   , -   , -   ,-,-
Y56,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,C_160,Plastic Surgery, -   , -   , -   , -   ,-,-
Y56,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,C_170,Cardiothoracic Surgery, -   , -   , -   , -   ,-,-
Y56,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,C_300,General Medicine, -   ,405,396,97.80%,5.5,14.3
Y56,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,C_301,Gastroenterology, -   ,928,884,95.30%,6.3,15.6
Y56,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,C_320,Cardiology, -   ,"1,392","1,367",98.20%,6.2,14.7
Y56,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,C_330,Dermatology, -   ,"1,065","1,024",96.20%,6.3,16.5
Y56,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,C_340,Thoracic Medicine, -   ,690,687,99.60%,5.8,14.5
Y56,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,C_400,Neurology, -   ,626,531,84.80%,6.8,26.1
Y56,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,C_410,Rheumatology, -   ,357,346,96.90%,6.1,13.8
Y56,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,C_430,Geriatric Medicine, -   ,174,173,99.40%,6.3,14.6
Y56,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,C_502,Gynaecology, -   ,845,836,98.90%,3.7,12.4
Y56,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,X01,Other, -   ,"1,912","1,765",92.30%,5.6,17.8
Y56,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,C_100,General Surgery,3,"2,963","2,306",77.80%,9,28.7
Y56,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,C_101,Urology, -   ,"1,265","1,004",79.40%,8.7,27
Y56,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,C_110,Trauma & Orthopaedics,9,"5,821","3,978",68.30%,12,30.8
Y56,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,C_120,"Ear, Nose & Throat (ENT)", -   ,"1,972","1,678",85.10%,7.8,24.6
Y56,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,C_130,Ophthalmology, -   ,"3,358","2,848",84.80%,8.4,22.6
Y56,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,C_140,Oral Surgery,1,"1,711","1,369",80.00%,8.5,23.9
Y56,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,C_150,Neurosurgery, -   , -   , -   , -   ,-,-
Y56,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,C_160,Plastic Surgery, -   ,56,51,91.10%,4.1,18.5
Y56,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,C_170,Cardiothoracic Surgery, -   , -   , -   , -   ,-,-
Y56,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,C_300,General Medicine, -   ,92,82,89.10%,8.5,21.5
Y56,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,C_301,Gastroenterology,1,"2,286","1,633",71.40%,10.5,30.1
Y56,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,C_320,Cardiology, -   ,908,775,85.40%,8,22.3
Y56,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,C_330,Dermatology,2,"1,398","1,067",76.30%,8.8,34.4
Y56,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,C_340,Thoracic Medicine, -   ,515,468,90.90%,5.9,19
Y56,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,C_400,Neurology, -   ,"1,572","1,094",69.60%,12,30.1
Y56,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,C_410,Rheumatology,1,"1,020",668,65.50%,12.5,32.9
Y56,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,C_430,Geriatric Medicine, -   ,119,94,79.00%,9.7,22.2
Y56,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,C_502,Gynaecology, -   ,"1,210","1,144",94.50%,5.5,16.4
Y56,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,X01,Other,5,"5,930","4,208",71.00%,10.3,31.8
Y56,RAT,NORTH EAST LONDON NHS FOUNDATION TRUST,C_100,General Surgery, -   , -   , -   , -   ,-,-
Y56,RAT,NORTH EAST LONDON NHS FOUNDATION TRUST,C_101,Urology, -   , -   , -   , -   ,-,-
Y56,RAT,NORTH EAST LONDON NHS FOUNDATION TRUST,C_110,Trauma & Orthopaedics, -   , -   , -   , -   ,-,-
Y56,RAT,NORTH EAST LONDON NHS FOUNDATION TRUST,C_120,"Ear, Nose & Throat (ENT)", -   , -   , -   , -   ,-,-
Y56,RAT,NORTH EAST LONDON NHS FOUNDATION TRUST,C_130,Ophthalmology, -   , -   , -   , -   ,-,-
Y56,RAT,NORTH EAST LONDON NHS FOUNDATION TRUST,C_140,Oral Surgery, -   , -   , -   , -   ,-,-
Y56,RAT,NORTH EAST LONDON NHS FOUNDATION TRUST,C_150,Neurosurgery, -   , -   , -   , -   ,-,-
Y56,RAT,NORTH EAST LONDON NHS FOUNDATION TRUST,C_160,Plastic Surgery, -   , -   , -   , -   ,-,-
Y56,RAT,NORTH EAST LONDON NHS FOUNDATION TRUST,C_170,Cardiothoracic Surgery, -   , -   , -   , -   ,-,-
Y56,RAT,NORTH EAST LONDON NHS FOUNDATION TRUST,C_300,General Medicine, -   , -   , -   , -   ,-,-
Y56,RAT,NORTH EAST LONDON NHS FOUNDATION TRUST,C_301,Gastroenterology, -   , -   , -   , -   ,-,-
Y56,RAT,NORTH EAST LONDON NHS FOUNDATION TRUST,C_320,Cardiology, -   , -   , -   , -   ,-,-
Y56,RAT,NORTH EAST LONDON NHS FOUNDATION TRUST,C_330,Dermatology, -   , -   , -   , -   ,-,-
Y56,RAT,NORTH EAST LONDON NHS FOUNDATION TRUST,C_340,Thoracic Medicine, -   , -   , -   , -   ,-,-
Y56,RAT,NORTH EAST LONDON NHS FOUNDATION TRUST,C_400,Neurology, -   , -   , -   , -   ,-,-
Y56,RAT,NORTH EAST LONDON NHS FOUNDATION TRUST,C_410,Rheumatology, -   , -   , -   , -   ,-,-
Y56,RAT,NORTH EAST LONDON NHS FOUNDATION TRUST,C_430,Geriatric Medicine, -   ,10,10,100.00%,-,-
Y56,RAT,NORTH EAST LONDON NHS FOUNDATION TRUST,C_502,Gynaecology, -   , -   , -   , -   ,-,-
Y56,RAT,NORTH EAST LONDON NHS FOUNDATION TRUST,X01,Other,1,557,553,99.30%,5.9,13.7
Y56,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,C_100,General Surgery, -   ,476,451,94.70%,5.6,15.7
Y56,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,C_101,Urology, -   ,"1,376","1,295",94.10%,6,16.4
Y56,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,C_110,Trauma & Orthopaedics, -   ,"1,881","1,697",90.20%,7.2,18.9
Y56,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,C_120,"Ear, Nose & Throat (ENT)", -   ,"1,763","1,686",95.60%,6.2,14.4
Y56,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,C_130,Ophthalmology, -   ,"3,430","2,889",84.20%,7.1,24.3
Y56,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,C_140,Oral Surgery, -   ,"1,038",975,93.90%,4.8,16.8
Y56,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,C_150,Neurosurgery, -   , -   , -   , -   ,-,-
Y56,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,C_160,Plastic Surgery, -   ,329,307,93.30%,5,17
Y56,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,C_170,Cardiothoracic Surgery, -   , -   , -   , -   ,-,-
Y56,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,C_300,General Medicine, -   ,128,118,92.20%,8.9,17.9
Y56,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,C_301,Gastroenterology, -   ,998,963,96.50%,7.2,15.7
Y56,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,C_320,Cardiology, -   ,652,609,93.40%,7.5,17
Y56,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,C_330,Dermatology, -   ,"1,209","1,180",97.60%,5.5,14
Y56,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,C_340,Thoracic Medicine, -   ,518,490,94.60%,6.2,15.3
Y56,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,C_400,Neurology, -   ,712,638,89.60%,8.2,18.9
Y56,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,C_410,Rheumatology, -   ,659,604,91.70%,8.7,18.3
Y56,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,C_430,Geriatric Medicine, -   ,35,35,100.00%,3.6,10.1
Y56,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,C_502,Gynaecology, -   ,"1,658","1,544",93.10%,5.7,17.1
Y56,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,X01,Other, -   ,"4,932","4,605",93.40%,6,17.3
Y56,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",C_100,General Surgery,1,"3,650","2,637",72.20%,10.3,30.5
Y56,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",C_101,Urology, -   ,"3,283","2,643",80.50%,7.9,26.5
Y56,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",C_110,Trauma & Orthopaedics, -   ,"4,260","2,914",68.40%,12,32.2
Y56,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",C_120,"Ear, Nose & Throat (ENT)",1,"2,805","2,246",80.10%,7.6,27.9
Y56,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",C_130,Ophthalmology, -   ,"3,781","3,118",82.50%,8.3,25
Y56,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",C_140,Oral Surgery, -   , -   , -   , -   ,-,-
Y56,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",C_150,Neurosurgery,2,"1,757","1,282",73.00%,9.2,33.6
Y56,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",C_160,Plastic Surgery, -   , -   , -   , -   ,-,-
Y56,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",C_170,Cardiothoracic Surgery, -   , -   , -   , -   ,-,-
Y56,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",C_300,General Medicine, -   ,84,74,88.10%,7.7,19.8
Y56,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",C_301,Gastroenterology, -   ,"1,025",978,95.40%,7.4,16.6
Y56,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",C_320,Cardiology, -   ,"2,024","1,821",90.00%,7.1,19.9
Y56,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",C_330,Dermatology, -   ,"1,755","1,202",68.50%,11.6,28.7
Y56,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",C_340,Thoracic Medicine, -   ,"1,236","1,097",88.80%,7.2,20.2
Y56,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",C_400,Neurology, -   ,"1,878","1,507",80.20%,8.3,27.5
Y56,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",C_410,Rheumatology, -   ,"1,563","1,239",79.30%,10.6,23.4
Y56,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",C_430,Geriatric Medicine, -   ,157,147,93.60%,6,17.6
Y56,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",C_502,Gynaecology,3,"3,092","2,282",73.80%,10.4,30.4
Y56,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",X01,Other,2,"9,042","6,753",74.70%,8.8,33.3
Y56,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,C_100,General Surgery,5,809,513,63.40%,13.6,38.7
Y56,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,C_101,Urology,1,"3,238","2,866",88.50%,8.7,20.2
Y56,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,C_110,Trauma & Orthopaedics, -   ,"3,257","2,735",84.00%,7.9,23.4
Y56,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,C_120,"Ear, Nose & Throat (ENT)",2,"5,672","4,331",76.40%,10,26.9
Y56,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,C_130,Ophthalmology, -   ,"2,734","2,605",95.30%,5.8,15.2
Y56,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,C_140,Oral Surgery, -   ,"4,988","4,669",93.60%,6.3,16.9
Y56,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,C_150,Neurosurgery, -   , -   , -   , -   ,-,-
Y56,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,C_160,Plastic Surgery,2,"1,322",900,68.10%,10.1,35.4
Y56,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,C_170,Cardiothoracic Surgery, -   , -   , -   , -   ,-,-
Y56,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,C_300,General Medicine, -   ,335,329,98.20%,4.9,16.1
Y56,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,C_301,Gastroenterology,2,"3,632","2,707",74.50%,9.4,29.8
Y56,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,C_320,Cardiology,1,"4,398","3,473",79.00%,9.4,26
Y56,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,C_330,Dermatology, -   ,"3,660","3,549",97.00%,6.7,15.7
Y56,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,C_340,Thoracic Medicine, -   ,"1,071","1,023",95.50%,4.9,15.2
Y56,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,C_400,Neurology, -   ,"1,818","1,598",87.90%,7.7,19.8
Y56,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,C_410,Rheumatology, -   ,850,816,96.00%,6.1,13.5
Y56,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,C_430,Geriatric Medicine, -   ,679,666,98.10%,5.2,13.9
Y56,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,C_502,Gynaecology,10,"5,783","4,074",70.40%,11.7,30.5
Y56,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,X01,Other,80,"33,204","28,252",85.10%,6.9,23.6
Y56,RJ2,LEWISHAM AND GREENWICH NHS TRUST,C_100,General Surgery,3,"5,660","4,411",77.90%,8.6,30.1
Y56,RJ2,LEWISHAM AND GREENWICH NHS TRUST,C_101,Urology, -   ,"1,420","1,233",86.80%,8.3,22.3
Y56,RJ2,LEWISHAM AND GREENWICH NHS TRUST,C_110,Trauma & Orthopaedics,2,"4,093","3,154",77.10%,9,28.8
Y56,RJ2,LEWISHAM AND GREENWICH NHS TRUST,C_120,"Ear, Nose & Throat (ENT)",1,"6,925","5,200",75.10%,10.6,29.1
Y56,RJ2,LEWISHAM AND GREENWICH NHS TRUST,C_130,Ophthalmology, -   ,225,175,77.80%,8.4,28
Y56,RJ2,LEWISHAM AND GREENWICH NHS TRUST,C_140,Oral Surgery, -   , -   , -   , -   ,-,-
Y56,RJ2,LEWISHAM AND GREENWICH NHS TRUST,C_150,Neurosurgery, -   , -   , -   , -   ,-,-
Y56,RJ2,LEWISHAM AND GREENWICH NHS TRUST,C_160,Plastic Surgery, -   ,11,7,63.60%,-,-
Y56,RJ2,LEWISHAM AND GREENWICH NHS TRUST,C_170,Cardiothoracic Surgery, -   , -   , -   , -   ,-,-
Y56,RJ2,LEWISHAM AND GREENWICH NHS TRUST,C_300,General Medicine, -   ,159,138,86.80%,8.8,20.1
Y56,RJ2,LEWISHAM AND GREENWICH NHS TRUST,C_301,Gastroenterology, -   ,"2,351","1,942",82.60%,8.7,24.9
Y56,RJ2,LEWISHAM AND GREENWICH NHS TRUST,C_320,Cardiology, -   ,"2,396","1,960",81.80%,8.9,24
Y56,RJ2,LEWISHAM AND GREENWICH NHS TRUST,C_330,Dermatology, -   ,"2,648","2,132",80.50%,9.6,25.3
Y56,RJ2,LEWISHAM AND GREENWICH NHS TRUST,C_340,Thoracic Medicine, -   ,"1,589","1,462",92.00%,7.4,18
Y56,RJ2,LEWISHAM AND GREENWICH NHS TRUST,C_400,Neurology, -   ,"1,958","1,543",78.80%,10.2,24.3
Y56,RJ2,LEWISHAM AND GREENWICH NHS TRUST,C_410,Rheumatology, -   ,"3,099","2,516",81.20%,9.4,25.6
Y56,RJ2,LEWISHAM AND GREENWICH NHS TRUST,C_430,Geriatric Medicine, -   ,259,245,94.60%,6.8,16.5
Y56,RJ2,LEWISHAM AND GREENWICH NHS TRUST,C_502,Gynaecology, -   ,"4,249","3,338",78.60%,9.5,30.5
Y56,RJ2,LEWISHAM AND GREENWICH NHS TRUST,X01,Other, -   ,"4,758","4,351",91.40%,6.9,18.5
Y56,RJ6,CROYDON HEALTH SERVICES NHS TRUST,C_100,General Surgery, -   ,917,746,81.40%,9.8,25.6
Y56,RJ6,CROYDON HEALTH SERVICES NHS TRUST,C_101,Urology, -   ,"1,386","1,359",98.10%,7.2,16.5
Y56,RJ6,CROYDON HEALTH SERVICES NHS TRUST,C_110,Trauma & Orthopaedics, -   ,"1,798","1,531",85.20%,9.3,23.7
Y56,RJ6,CROYDON HEALTH SERVICES NHS TRUST,C_120,"Ear, Nose & Throat (ENT)", -   ,"1,380","1,332",96.50%,5.6,15.8
